date	lat	lng	kind
2010/04/17	-0.56716000	130.69199000	Other
2010/04/18	37.84844300	-0.76231000	Man o war
2010/04/18	37.84813800	-0.76222000	Velella
2010/04/19	41.25948000	1.99299000	Other
2010/04/22	38.93912000	1.22978000	Man o war
2010/04/23	34.39671200	-119.84505000	Jellyfish
2010/04/23	36.80712000	-121.78445000	Jellyfish
2010/04/23	34.37971300	-119.88281000	Jellyfish
2010/04/24	11.44099300	-73.08208000	Jellyfish
2010/04/25	34.41466300	-119.82887000	Jellyfish
2010/04/25	-8.83126200	115.08475000	Plastic
2010/04/25	42.31807000	3.32354000	Jellyfish
2010/04/26	36.81130000	-121.78652000	Jellyfish
2010/04/26	38.52494000	-0.10300000	Man o war
2010/04/26	38.61660000	-0.01923000	Man o war
2010/04/27	38.84492000	0.12445000	Velella
2010/04/27	56.18010400	-4.77523000	Squid
2010/04/27	56.18000900	-4.77519000	Vertebrate
2010/04/27	48.54400000	-123.01323000	Jellyfish
2010/04/28	12.21118000	-71.93848000	Jellyfish
2010/04/29	-8.66274200	115.13208000	Clean sea
2010/05/01	29.66673000	-84.84887000	Red Tide
2010/05/01	30.28590000	-87.48808000	Other
2010/05/02	38.16452500	-0.52906000	Man o war
2010/05/02	-8.65883900	115.12599000	Jellyfish
2010/05/02	30.28590000	-87.48808000	Man o war
2010/05/02	30.28590000	-87.48808000	Other
2010/05/02	30.28590000	-87.48808000	Velella
2010/05/02	30.28590000	-87.48808000	Other
2010/05/02	30.28590000	-87.48808000	Other
2010/05/03	33.84076400	-77.96310000	Jellyfish
2010/05/03	30.28590000	-87.48808000	Man o war
2010/05/03	30.28590000	-87.48808000	Velella
2010/05/06	32.86704000	-117.25742000	Red Tide
2010/05/07	30.38309000	-86.45433000	Other
2010/05/07	49.55751200	-124.85893000	Jellyfish
2010/05/09	32.86531400	-117.25639000	Red Tide
2010/05/09	30.37156000	-81.39732000	Vertebrate
2010/05/10	47.13929300	-122.90405000	Jellyfish
2010/05/10	42.31743000	3.32594000	Jellyfish
2010/05/10	42.31667000	3.32783000	Jellyfish
2010/05/10	17.72775900	-101.86523000	Jellyfish
2010/05/11	41.04013200	29.00584000	Other
2010/05/11	49.46334100	-2.53207000	Jellyfish
2010/05/12	35.65894000	139.76914000	Jellyfish
2010/05/12	35.65834000	139.76631000	Jellyfish
2010/05/12	20.93603000	-156.69491000	Box Jelly
2010/05/12	32.08354000	-81.09983000	Jellyfish
2010/05/13	48.35967000	-4.53083000	Jellyfish
2010/05/14	27.80166200	-97.07654000	Man o war
2010/05/16	40.63927000	-73.18428000	Jellyfish
2010/05/18	48.54434000	-123.01271000	Other
2010/05/18	48.54457000	-123.01271000	Jellyfish
2010/05/18	48.54457000	-123.01271000	Other
2010/05/18	36.77079000	-2.43347000	Jellyfish
2010/05/19	48.54457000	-123.01271000	Jellyfish
2010/05/19	37.48357700	-122.51541000	Other
2010/05/20	37.55391000	-1.17026000	Man o war
2010/05/22	48.54457000	-123.01271000	Jellyfish
2010/05/22	43.94784400	-69.42570000	Jellyfish
2010/05/23	41.37926000	2.20104000	Jellyfish
2010/05/23	41.37887000	2.20207000	Jellyfish
2010/05/24	41.22993000	1.81000000	Man o war
2010/05/24	33.77048000	-118.13371000	Jellyfish
2010/05/24	36.80301400	-121.78862000	Jellyfish
2010/05/24	41.38504000	2.19632000	Jellyfish
2010/05/25	37.44190000	-122.14190000	Jellyfish
2010/05/25	41.13174000	1.37501000	Jellyfish
2010/05/27	32.86863000	-117.26034000	Red Tide
2010/05/28	30.25906700	-81.56250000	Man o war
2010/05/29	33.76088200	-118.46008000	Red Tide
2010/05/29	27.94585000	-82.39974000	Jellyfish
2010/05/29	37.05956100	-8.10242000	Man o war
2010/05/30	49.31763900	-122.94421000	Jellyfish
2010/05/31	42.34052000	-70.97548000	Jellyfish
2010/06/01	24.07734000	-74.53657000	Squid
2010/06/01	24.07844000	-74.53743000	Other
2010/06/02	53.39907000	-2.99429000	Jellyfish
2010/06/03	13.50000000	-61.03000000	Jellyfish
2010/06/03	40.79237000	13.43336000	Jellyfish
2010/06/04	49.50292000	-2.52840000	Jellyfish
2010/06/05	49.40779000	-122.88461000	Jellyfish
2010/06/05	36.97202000	-121.91353000	Jellyfish
2010/06/05	36.97202000	-121.91353000	Other
2010/06/06	37.44190000	-122.14190000	Jellyfish
2010/06/06	50.47962000	-3.51075000	Jellyfish
2010/06/06	38.90840000	1.43784000	Man o war
2010/06/07	38.94232000	1.54907000	Man o war
2010/06/08	21.61961000	-157.91182000	Squid
2010/06/08	32.37532000	-80.43228000	Jellyfish
2010/06/10	64.15174000	-21.94272000	Jellyfish
2010/06/10	-34.14051000	18.43214000	Jellyfish
2010/06/10	34.82775500	136.95866000	Jellyfish
2010/06/10	39.85072000	2.77405000	Jellyfish
2010/06/11	6.41510000	79.99592000	Man o war
2010/06/11	37.84883000	15.30069000	Jellyfish
2010/06/13	49.31605200	-122.94142000	Jellyfish
2010/06/13	59.21076000	-151.75703000	Jellyfish
2010/06/14	50.07741300	-5.70225000	Man o war
2010/06/14	32.85504000	-117.25961000	Jellyfish
2010/06/15	50.31193000	-4.10339000	Jellyfish
2010/06/15	53.22412400	-4.55383000	Jellyfish
2010/06/18	36.96670000	-122.11670000	Vertebrate
2010/06/18	21.25226200	-157.69775000	Jellyfish
2010/06/18	37.44190000	-122.14190000	Jellyfish
2010/06/22	50.28539100	-5.25215000	Jellyfish
2010/06/22	56.41390100	-163.34473000	Jellyfish
2010/06/22	53.12772000	-4.32261000	Jellyfish
2010/06/25	53.33108000	-3.82650000	Jellyfish
2010/06/25	32.77226500	-117.25845000	Jellyfish
2010/06/26	39.07858000	-76.61135000	Jellyfish
2010/06/26	38.72095000	-75.07601000	Jellyfish
2010/06/26	49.28220100	-122.85040000	Jellyfish
2010/06/26	49.53233900	-2.05994000	Jellyfish
2010/06/28	32.05988000	34.75697000	Jellyfish
2010/06/28	12.20189000	-68.26238000	Box Jelly
2010/06/30	42.26597000	-70.87152000	Jellyfish
2010/06/30	39.89077000	2.83997000	Jellyfish
2010/07/01	10.45625000	-61.03746000	Man o war
2010/07/01	12.20189000	-68.26238000	Box Jelly
2010/07/03	49.37318000	-122.87796000	Jellyfish
2010/07/04	42.32327000	-70.99091000	Jellyfish
2010/07/04	41.18550000	1.57139000	Jellyfish
2010/07/05	36.96670000	-121.90000000	Vertebrate
2010/07/05	32.58394000	-117.11308000	Jellyfish
2010/07/07	38.61667000	15.83333000	Jellyfish
2010/07/09	41.28193100	-72.92806000	Jellyfish
2010/07/09	36.60968000	-121.89551000	Other
2010/07/09	3.66144600	9.14337000	Jellyfish
2010/07/09	48.31979100	-122.70484000	Jellyfish
2010/07/10	41.26683000	-72.55893000	Jellyfish
2010/07/10	51.41572000	0.74802000	Other
2010/07/10	46.34598000	-64.53369000	Jellyfish
2010/07/11	41.71406000	-71.16291000	Other
2010/07/11	43.39796200	-70.41401000	Other
2010/07/11	32.63272000	-117.14155000	Jellyfish
2010/07/11	32.71283000	-117.23448000	Jellyfish
2010/07/12	19.97948000	-155.83351000	Man o war
2010/07/13	32.72794200	-117.21150000	Jellyfish
2010/07/13	32.70989000	-117.23288000	Jellyfish
2010/07/13	32.66539100	-117.14001000	Jellyfish
2010/07/14	29.08247000	-95.12160000	Jellyfish
2010/07/14	29.14140000	-95.04007000	Jellyfish
2010/07/14	37.55111000	-122.54425000	Jellyfish
2010/07/14	49.37522000	-122.87659000	Jellyfish
2010/07/15	-41.28864200	174.83308000	Red Tide
2010/07/15	32.78567000	-79.78332000	Man o war
2010/07/15	32.79170000	-79.76922000	Jellyfish
2010/07/15	41.71995000	2.93661000	Clean sea
2010/07/16	32.78881000	-79.77602000	Jellyfish
2010/07/16	32.79739000	-79.75107000	Man o war
2010/07/17	34.41165000	-119.68794000	Jellyfish
2010/07/18	32.80437000	-79.72743000	Man o war
2010/07/19	36.97087800	-121.91297000	Vertebrate
2010/07/19	36.97029500	-121.91048000	Vertebrate
2010/07/19	36.96954100	-121.90928000	Vertebrate
2010/07/19	32.80538000	-79.72554000	Box Jelly
2010/07/19	32.80023000	-79.73969000	Box Jelly
2010/07/20	32.79623000	-79.75716000	Jellyfish
2010/07/20	32.78543000	-79.78382000	Jellyfish
2010/07/21	32.79261000	-79.76626000	Jellyfish
2010/07/21	29.28879000	-94.78798000	Jellyfish
2010/07/22	-38.21215000	145.04597000	Red Tide
2010/07/22	26.52702000	-80.04837000	Man o war
2010/07/22	32.79633000	-79.75523000	Jellyfish
2010/07/22	41.46460000	2.28069000	Jellyfish
2010/07/23	32.79722000	-79.75179000	Jellyfish
2010/07/23	32.80044000	-79.73881000	Jellyfish
2010/07/23	32.80149000	-79.73463000	Box Jelly
2010/07/23	32.79729000	-79.75148000	Jellyfish
2010/07/23	32.79770000	-79.74958000	Jellyfish
2010/07/24	36.95661400	-121.96395000	Vertebrate
2010/07/25	36.97075800	-121.91183000	Vertebrate
2010/07/26	32.74444000	-117.25196000	Jellyfish
2010/07/26	50.07872000	-5.69847000	Jellyfish
2010/07/27	36.80587400	-121.78917000	Vertebrate
2010/07/27	41.51732000	-70.65187000	Other
2010/07/27	41.51732000	-70.65239000	Jellyfish
2010/07/27	35.77490000	-75.53544000	Jellyfish
2010/07/29	35.77490000	-75.53544000	Jellyfish
2010/07/29	39.38248000	-0.32307000	Jellyfish
2010/07/30	43.51668900	-65.52246000	Jellyfish
2010/07/31	43.59233000	-6.00403000	Man o war
2010/08/01	32.65441000	-79.91730000	Jellyfish
2010/08/01	36.81389000	-121.76959000	Jellyfish
2010/08/02	36.60919000	-121.89374000	Jellyfish
2010/08/02	27.51619000	-82.69753000	Red Tide
2010/08/03	38.84960000	0.10351000	Jellyfish
2010/08/04	35.38905000	-75.82764000	Jellyfish
2010/08/05	69.24809000	-53.54925000	Other
